id;nombre;marca;presentacion;nombre_1;nombre_2;nombre_3;Clasificaci�n
7,79E+12;Yogur Frutilla Danonino Pack 2 Un 161 Gr;DANONINO;161.0 gr;Yogur;Yogur   Frutilla;Yogur   Frutilla   Danonino;Lácteos y derivados
7,79E+12;Yogur Descremado con Colchon de Frutas Arandano Granada Ser 175 Gr;SER;175.0 gr;Yogur;Yogur   Descremado;Yogur   Descremado   con;Lácteos y derivados
7,79E+12;Queso Crema Untable Clasico Casancrem 300 Gr;CASANCREM;300.0 gr;Queso;Queso   Crema;Queso   Crema   Untable;Lácteos y derivados
7,79E+12;Postre Dulce de Leche Ser Pack 2 Un 220 Gr;SER;220.0 gr;Postre;Postre   Dulce;Postre   Dulce   de;Almacen no incluidos en otra categoría
7,79E+12;Postre Vainilla con Rocklets Serenito 120 Gr;SERENITO;120.0 gr;Postre;Postre   Vainilla;Postre   Vainilla   con;Almacen no incluidos en otra categoría
7,79E+12;Postre Vainilla con Bombas Crocantes Serenito 118 Gr;SERENITO;118.0 gr;Postre;Postre   Vainilla;Postre   Vainilla   con;Almacen no incluidos en otra categoría
7,79E+12;Postre Crema Americana Danette Pack 2 Un 190 Gr;DANETTE;190.0 gr;Postre;Postre   Crema;Postre   Crema   Americana;Almacen no incluidos en otra categoría
7,79E+12;Yogur Bebible Entero Vainilla Botella Yogurisimo 185 Gr;YOGUR�SIMO;185.0 gr;Yogur;Yogur   Bebible;Yogur   Bebible   Entero;Lácteos y derivados
7,79E+12;Yogur Bebible Entero Frutilla Yogurisimo 185 Gr;YOGUR�SIMO;185.0 gr;Yogur;Yogur   Bebible;Yogur   Bebible   Entero;Lácteos y derivados
7,79E+12;Yogur Entero Firme Vainilla Yogurisimo 190 Gr;YOGUR�SIMO;190.0 gr;Yogur;Yogur   Entero;Yogur   Entero   Firme;Lácteos y derivados
7,79E+12;Postre Chocolate con Crema La Copa Serenito 100 Gr;SERENITO;100.0 gr;Postre;Postre   Chocolate;Postre   Chocolate   con;Almacen no incluidos en otra categoría
7,79E+12;Yogur Entero Cereales Yogurisimo 166 Gr;YOGUR�SIMO;166.0 gr;Yogur;Yogur   Entero;Yogur   Entero   Cereales;Lácteos y derivados
7,79E+12;Yogur Bebible Entero Vainilla Yogurisimo 1.3 Kg;YOGUR�SIMO;1.3 kg;Yogur;Yogur   Bebible;Yogur   Bebible   Entero;Lácteos y derivados
7,79E+12;Yogur Bebible Entero Frutilla Yogurisimo 1.3 Kg;YOGUR�SIMO;1.3 kg;Yogur;Yogur   Bebible;Yogur   Bebible   Entero;Lácteos y derivados
7,79E+12;Yogur Bebible Vainilla Danonino 185 Gr;DANONINO;185.0 gr;Yogur;Yogur   Bebible;Yogur   Bebible   Vainilla;Lácteos y derivados
7,79E+12;Yogur Bebible Frutilla Danonino 185 Gr;DANONINO;185.0 gr;Yogur;Yogur   Bebible;Yogur   Bebible   Frutilla;Lácteos y derivados
7,79E+12;Yogur Entero Firme Frutilla Yogurisimo 190 Gr;YOGUR�SIMO;190.0 gr;Yogur;Yogur   Entero;Yogur   Entero   Firme;Lácteos y derivados
7,79E+12;Flan Vainilla Fortificado Serenito en Pack 2 Un 210 Gr;SERENITO;210.0 gr;Flan;Flan   Vainilla;Flan   Vainilla   Fortificado;Almacen no incluidos en otra categoría
7,79E+12;Yogur Descremado Firme Vainilla Ser 195 Gr;SER;195.0 gr;Yogur;Yogur   Descremado;Yogur   Descremado   Firme;Lácteos y derivados
7,79E+12;Yogur Descremado Firme Frutilla Ser 195 Gr;SER;195.0 gr;Yogur;Yogur   Descremado;Yogur   Descremado   Firme;Lácteos y derivados
7,79E+12;Flan Vainilla Ser en Pack 2 Un 95 Gr;SER;190.0 gr;Flan;Flan   Vainilla;Flan   Vainilla   Ser;Almacen no incluidos en otra categoría
7,79E+12;Postre Chocolate Ser Pack 2 Un 100 Gr;SER;200.0 gr;Postre;Postre   Chocolate;Postre   Chocolate   Ser;Almacen no incluidos en otra categoría
7,79E+12;Yogur Bebible Descremado Multifruta Ser 185 Gr;SER;185.0 gr;Yogur;Yogur   Bebible;Yogur   Bebible   Descremado;Lácteos y derivados
7,79E+12;Alimento Lacteo Bebible Frutilla Actimel 6 Un 100 Gr;ACTIMEL;600.0 gr;Alimento;Alimento   Lacteo;Alimento   Lacteo   Bebible;Lácteos y derivados
7,79E+12;Yogur Bebible Vainilla Tetra Yogurisimo 1 Kg;YOGUR�SIMO;1.0 kg;Yogur;Yogur   Bebible;Yogur   Bebible   Vainilla;Lácteos y derivados
7,79E+12;Yogur Bebible Entero Frutilla Yogurisimo 1 Lt;YOGUR�SIMO;1.0 lt;Yogur;Yogur   Bebible;Yogur   Bebible   Entero;Lácteos y derivados
7,79E+12;Yogur Descremado Batido Calcio Frutilla Vitamina Ser Pack 2 Un 120 Gr;SER;240.0 gr;Yogur;Yogur   Descremado;Yogur   Descremado   Batido;Lácteos y derivados
7,79E+12;Yogur Descremado Batido Durazno Calcio Ser Pack 2 Un 120 Gr;SER;240.0 gr;Yogur;Yogur   Descremado;Yogur   Descremado   Batido;Lácteos y derivados
7,79E+12;Leche Chocolatada Cindor 1 Lt;CINDOR;1.0 lt;Leche;Leche   Chocolatada;Leche   Chocolatada   Cindor;Lácteos y derivados
7,79E+12;Yogur Bebible Vainilla Tetra Ser 1 Kg;SER;1.0 kg;Yogur;Yogur   Bebible;Yogur   Bebible   Vainilla;Lácteos y derivados
7,79E+12;Yogur Descremado con Cereales y Miel Ser 165 Gr;SER;165.0 gr;Yogur;Yogur   Descremado;Yogur   Descremado   con;Lácteos y derivados
7,79E+12;Vino Tinto Hereford 750 Ml;HEREFORD;750.0 ml;Vino;Vino   Tinto;Vino   Tinto   Hereford;"Bebidas alcohólicas (no bebidas ""blancas"")"
7,79E+12;Vino Blanco Hereford 750 Ml;HEREFORD;750.0 ml;Vino;Vino   Blanco;Vino   Blanco   Hereford;"Bebidas alcohólicas (no bebidas ""blancas"")"
7,79E+12;Vino Espumante Blue Evolution Frizze 750 Ml;FRIZEE;750.0 ml;Vino;Vino   Espumante;Vino   Espumante   Blue;"Bebidas alcohólicas (no bebidas ""blancas"")"
